,State,Area,Year,Pop_Est,Int_Mig_Rate,Dom_Mig_Rate
391,AL,Pike County,2017,33267,3.3,-3.1
392,AL,Randolph County,2011,22740,-0.4,-4.8
393,AL,Randolph County,2012,22532,-0.4,-8.2
394,AL,Randolph County,2013,22546,-0.3,1.6
395,AL,Randolph County,2014,22350,-0.4,-6.7
396,AL,Randolph County,2015,22588,-0.3,12.1
397,AL,Randolph County,2016,22498,-0.4,-0.8
398,AL,Randolph County,2017,22670,-0.4,10.2
399,AL,Russell County,2011,54833,-0.4,23.7
400,AL,Russell County,2012,57478,1.7,38.3
401,AL,Russell County,2013,59123,0.7,21.0
402,AL,Russell County,2014,59207,0.5,-6.9
403,AL,Russell County,2015,58847,1.1,-12.8
404,AL,Russell County,2016,58177,0.4,-15.0
405,AL,Russell County,2017,57045,-0.1,-22.7
406,AL,St. Clair County,2011,84211,0.5,1.0
407,AL,St. Clair County,2012,84975,0.3,5.8
408,AL,St. Clair County,2013,86029,0.4,10.0
409,AL,St. Clair County,2014,86219,0.3,1.1
410,AL,St. Clair County,2015,86758,0.3,4.7
411,AL,St. Clair County,2016,87482,0.3,6.9
412,AL,St. Clair County,2017,88199,0.3,7.1
413,AL,Shelby County,2011,197885,1.5,1.9
414,AL,Shelby County,2012,200828,0.9,8.3
415,AL,Shelby County,2013,203897,0.8,9.1
416,AL,Shelby County,2014,206152,0.8,5.1
417,AL,Shelby County,2015,208877,1.0,7.2
418,AL,Shelby County,2016,211073,1.0,5.0
419,AL,Shelby County,2017,213605,1.0,7.1
420,AL,Sumter County,2011,13491,1.5,-17.0
421,AL,Sumter County,2012,13428,2.1,-4.6
422,AL,Sumter County,2013,13376,2.7,-5.4
423,AL,Sumter County,2014,13253,2.3,-12.2
424,AL,Sumter County,2015,13174,2.4,-9.2
425,AL,Sumter County,2016,12932,2.8,-21.5
426,AL,Sumter County,2017,12687,2.8,-20.7
427,AL,Talladega County,2011,81792,0.3,-3.2
428,AL,Talladega County,2012,82072,0.2,3.9
429,AL,Talladega County,2013,81497,0.3,-5.7
430,AL,Talladega County,2014,81445,0.4,0.5
431,AL,Talladega County,2015,81047,0.4,-4.6
432,AL,Talladega County,2016,80386,0.4,-5.8
433,AL,Talladega County,2017,80065,0.4,-1.8
