,State,Year,Min_Wage,CPI
326,Maryland,2013,7.25,232.9570833
327,Massachusetts,2013,8.0,232.9570833
328,Michigan,2013,7.4,232.9570833
329,Minnesota,2013,6.15,232.9570833
330,Mississippi,2013,7.25,232.9570833
331,Missouri,2013,7.35,232.9570833
332,Montana,2013,7.8,232.9570833
333,Nebraska,2013,7.25,232.9570833
334,Nevada,2013,8.25,232.9570833
335,New Hampshire,2013,7.25,232.9570833
336,New Jersey,2013,7.25,232.9570833
337,New Mexico,2013,7.5,232.9570833
338,New York,2013,7.25,232.9570833
339,North Carolina,2013,7.25,232.9570833
340,North Dakota,2013,7.25,232.9570833
341,Ohio,2013,7.85,232.9570833
342,Oklahoma,2013,7.25,232.9570833
343,Oregon,2013,8.95,232.9570833
344,Pennsylvania,2013,7.25,232.9570833
345,Rhode Island,2013,7.75,232.9570833
346,South Carolina,2013,7.25,232.9570833
347,South Dakota,2013,7.25,232.9570833
348,Tennessee,2013,7.25,232.9570833
349,Texas,2013,7.25,232.9570833
350,Utah,2013,7.25,232.9570833
351,Vermont,2013,8.6,232.9570833
352,Virginia,2013,7.25,232.9570833
353,Washington,2013,9.19,232.9570833
354,West Virginia,2013,7.25,232.9570833
355,Wisconsin,2013,7.25,232.9570833
356,Wyoming,2013,5.15,232.9570833
357,Alabama,2014,7.25,236.7361667
358,Alaska,2014,7.75,236.7361667
359,Arizona,2014,7.9,236.7361667
360,Arkansas,2014,6.25,236.7361667
361,California,2014,9.0,236.7361667
362,Colorado,2014,8.0,236.7361667
363,Connecticut,2014,8.7,236.7361667
364,Delaware,2014,7.75,236.7361667
365,District of Columbia,2014,9.5,236.7361667
366,Florida,2014,7.93,236.7361667
367,Georgia,2014,5.15,236.7361667
368,Hawaii,2014,7.25,236.7361667
369,Idaho,2014,7.25,236.7361667
370,Illinois,2014,8.25,236.7361667
371,Indiana,2014,7.25,236.7361667
372,Iowa,2014,7.25,236.7361667
373,Kansas,2014,7.25,236.7361667
374,Kentucky,2014,7.25,236.7361667
375,Louisiana,2014,7.25,236.7361667
376,Maine,2014,7.5,236.7361667
377,Maryland,2014,7.25,236.7361667
378,Massachusetts,2014,8.0,236.7361667
379,Michigan,2014,8.15,236.7361667
380,Minnesota,2014,8.0,236.7361667
381,Mississippi,2014,7.25,236.7361667
382,Missouri,2014,7.5,236.7361667
383,Montana,2014,7.9,236.7361667
384,Nebraska,2014,7.25,236.7361667
385,Nevada,2014,8.25,236.7361667
386,New Hampshire,2014,7.25,236.7361667
387,New Jersey,2014,8.25,236.7361667
388,New Mexico,2014,7.5,236.7361667
389,New York,2014,8.0,236.7361667
390,North Carolina,2014,7.25,236.7361667
391,North Dakota,2014,7.25,236.7361667
392,Ohio,2014,7.95,236.7361667
393,Oklahoma,2014,7.25,236.7361667
394,Oregon,2014,9.1,236.7361667
395,Pennsylvania,2014,7.25,236.7361667
396,Rhode Island,2014,8.0,236.7361667
397,South Carolina,2014,7.25,236.7361667
398,South Dakota,2014,7.25,236.7361667
399,Tennessee,2014,7.25,236.7361667
400,Texas,2014,7.25,236.7361667
401,Utah,2014,7.25,236.7361667
402,Vermont,2014,8.73,236.7361667
403,Virginia,2014,7.25,236.7361667
404,Washington,2014,9.32,236.7361667
405,West Virginia,2014,7.25,236.7361667
406,Wisconsin,2014,7.25,236.7361667
407,Wyoming,2014,5.15,236.7361667
408,Alabama,2015,7.25,237.017
409,Alaska,2015,8.75,237.017
410,Arizona,2015,8.05,237.017
411,Arkansas,2015,7.5,237.017
412,California,2015,9.0,237.017
413,Colorado,2015,8.23,237.017
414,Connecticut,2015,9.15,237.017
415,Delaware,2015,8.25,237.017
416,District of Columbia,2015,10.5,237.017
417,Florida,2015,8.05,237.017
418,Georgia,2015,5.15,237.017
419,Hawaii,2015,7.75,237.017
420,Idaho,2015,7.25,237.017
421,Illinois,2015,8.25,237.017
422,Indiana,2015,7.25,237.017
423,Iowa,2015,7.25,237.017
424,Kansas,2015,7.25,237.017
425,Kentucky,2015,7.25,237.017
426,Louisiana,2015,7.25,237.017
427,Maine,2015,7.5,237.017
428,Maryland,2015,8.25,237.017
429,Massachusetts,2015,9.0,237.017
430,Michigan,2015,8.15,237.017
431,Minnesota,2015,9.0,237.017
432,Mississippi,2015,7.25,237.017
433,Missouri,2015,7.65,237.017
434,Montana,2015,8.05,237.017
435,Nebraska,2015,8.0,237.017
436,Nevada,2015,8.25,237.017
437,New Hampshire,2015,7.25,237.017
438,New Jersey,2015,8.38,237.017
439,New Mexico,2015,7.5,237.017
440,New York,2015,8.75,237.017
441,North Carolina,2015,7.25,237.017
442,North Dakota,2015,7.25,237.017
443,Ohio,2015,8.1,237.017
444,Oklahoma,2015,7.25,237.017
445,Oregon,2015,9.25,237.017
446,Pennsylvania,2015,7.25,237.017
447,Rhode Island,2015,9.0,237.017
448,South Carolina,2015,7.25,237.017
449,South Dakota,2015,8.5,237.017
450,Tennessee,2015,7.25,237.017
451,Texas,2015,7.25,237.017
452,Utah,2015,7.25,237.017
453,Vermont,2015,9.15,237.017
454,Virginia,2015,7.25,237.017
455,Washington,2015,9.47,237.017
456,West Virginia,2015,8.0,237.017
457,Wisconsin,2015,7.25,237.017
458,Wyoming,2015,5.15,237.017
459,Alabama,2016,7.25,240.0071667
460,Alaska,2016,9.75,240.0071667
461,Arizona,2016,8.05,240.0071667
462,Arkansas,2016,8.0,240.0071667
463,California,2016,10.0,240.0071667
464,Colorado,2016,8.31,240.0071667
465,Connecticut,2016,9.6,240.0071667
466,Delaware,2016,8.25,240.0071667
467,District of Columbia,2016,11.5,240.0071667
468,Florida,2016,8.05,240.0071667
469,Georgia,2016,5.15,240.0071667
470,Hawaii,2016,8.5,240.0071667
471,Idaho,2016,7.25,240.0071667
472,Illinois,2016,8.25,240.0071667
473,Indiana,2016,7.25,240.0071667
474,Iowa,2016,7.25,240.0071667
475,Kansas,2016,7.25,240.0071667
476,Kentucky,2016,7.25,240.0071667
477,Louisiana,2016,7.25,240.0071667
478,Maine,2016,7.5,240.0071667
479,Maryland,2016,8.75,240.0071667
480,Massachusetts,2016,10.0,240.0071667
481,Michigan,2016,8.5,240.0071667
482,Minnesota,2016,9.5,240.0071667
483,Mississippi,2016,7.25,240.0071667
484,Missouri,2016,7.65,240.0071667
485,Montana,2016,8.05,240.0071667
486,Nebraska,2016,9.0,240.0071667
487,Nevada,2016,8.25,240.0071667
488,New Hampshire,2016,7.25,240.0071667
489,New Jersey,2016,8.38,240.0071667
490,New Mexico,2016,7.5,240.0071667
491,New York,2016,9.0,240.0071667
492,North Carolina,2016,7.25,240.0071667
493,North Dakota,2016,7.25,240.0071667
494,Ohio,2016,8.1,240.0071667
495,Oklahoma,2016,7.25,240.0071667
496,Oregon,2016,9.75,240.0071667
497,Pennsylvania,2016,7.25,240.0071667
498,Rhode Island,2016,9.6,240.0071667
499,South Carolina,2016,7.25,240.0071667
500,South Dakota,2016,8.55,240.0071667
501,Tennessee,2016,7.25,240.0071667
502,Texas,2016,7.25,240.0071667
503,Utah,2016,7.25,240.0071667
504,Vermont,2016,9.6,240.0071667
505,Virginia,2016,7.25,240.0071667
506,Washington,2016,9.47,240.0071667
507,West Virginia,2016,8.75,240.0071667
508,Wisconsin,2016,7.25,240.0071667
509,Wyoming,2016,5.15,240.0071667
510,Alabama,2017,7.25,245.1195833
511,Alaska,2017,9.8,245.1195833
512,Arizona,2017,10.0,245.1195833
513,Arkansas,2017,8.5,245.1195833
514,California,2017,10.0,245.1195833
515,Colorado,2017,9.3,245.1195833
516,Connecticut,2017,10.1,245.1195833
517,Delaware,2017,8.25,245.1195833
518,District of Columbia,2017,11.5,245.1195833
519,Florida,2017,8.1,245.1195833
520,Georgia,2017,5.15,245.1195833
521,Hawaii,2017,9.25,245.1195833
522,Idaho,2017,7.25,245.1195833
523,Illinois,2017,8.25,245.1195833
524,Indiana,2017,7.25,245.1195833
525,Iowa,2017,7.25,245.1195833
526,Kansas,2017,7.25,245.1195833
527,Kentucky,2017,7.25,245.1195833
528,Louisiana,2017,7.25,245.1195833
529,Maine,2017,9.0,245.1195833
530,Maryland,2017,8.75,245.1195833
531,Massachusetts,2017,11.0,245.1195833
532,Michigan,2017,8.9,245.1195833
533,Minnesota,2017,9.5,245.1195833
534,Mississippi,2017,7.25,245.1195833
535,Missouri,2017,7.7,245.1195833
536,Montana,2017,8.15,245.1195833
537,Nebraska,2017,9.0,245.1195833
538,Nevada,2017,8.25,245.1195833
539,New Hampshire,2017,7.25,245.1195833
540,New Jersey,2017,8.44,245.1195833
541,New Mexico,2017,7.5,245.1195833
542,New York,2017,9.7,245.1195833
543,North Carolina,2017,7.25,245.1195833
544,North Dakota,2017,7.25,245.1195833
545,Ohio,2017,8.15,245.1195833
546,Oklahoma,2017,7.25,245.1195833
547,Oregon,2017,9.75,245.1195833
548,Pennsylvania,2017,7.25,245.1195833
549,Rhode Island,2017,9.6,245.1195833
550,South Carolina,2017,7.25,245.1195833
551,South Dakota,2017,8.65,245.1195833
552,Tennessee,2017,7.25,245.1195833
553,Texas,2017,7.25,245.1195833
554,Utah,2017,7.25,245.1195833
555,Vermont,2017,10.0,245.1195833
556,Virginia,2017,7.25,245.1195833
557,Washington,2017,11.0,245.1195833
558,West Virginia,2017,8.75,245.1195833
559,Wisconsin,2017,7.25,245.1195833
560,Wyoming,2017,5.15,245.1195833
