,State,Area,LHS,HS,SC,BD
903,IA,Washington County,9.2,37.5,32.5,20.9
904,IA,Wayne County,10.8,45.7,30.5,13.1
905,IA,Webster County,9.4,32.5,37.5,20.6
906,IA,Winnebago County,9.0,32.9,36.6,21.6
907,IA,Winneshiek County,5.6,33.7,33.2,27.6
908,IA,Woodbury County,14.3,34.0,30.0,21.7
909,IA,Worth County,7.7,35.3,41.7,15.3
910,IA,Wright County,10.0,35.7,37.3,17.0
911,KS,Kansas,9.7,26.6,32.1,31.6
912,KS,Allen County,9.6,32.6,39.5,18.3
913,KS,Anderson County,9.1,37.0,34.6,19.2
914,KS,Atchison County,7.4,41.5,31.2,19.9
915,KS,Barber County,7.6,36.5,37.2,18.7
916,KS,Barton County,13.2,32.2,37.9,16.7
917,KS,Bourbon County,9.5,29.6,39.1,21.7
918,KS,Brown County,7.1,39.4,33.5,20.1
919,KS,Butler County,7.2,26.6,37.6,28.6
920,KS,Chase County,9.6,29.6,36.6,24.3
921,KS,Chautauqua County,12.0,38.4,31.3,18.3
922,KS,Cherokee County,12.8,34.2,34.5,18.5
923,KS,Cheyenne County,5.5,31.8,38.2,24.6
924,KS,Clark County,9.6,26.3,35.4,28.8
925,KS,Clay County,6.2,31.0,37.8,25.0
926,KS,Cloud County,8.0,32.4,39.4,20.2
927,KS,Coffey County,7.3,37.3,34.3,21.1
928,KS,Comanche County,6.6,34.1,39.2,20.1
929,KS,Cowley County,10.9,30.4,39.3,19.4
930,KS,Crawford County,9.9,28.8,33.0,28.4
931,KS,Decatur County,8.1,35.7,30.0,26.2
932,KS,Dickinson County,10.8,36.0,33.7,19.5
933,KS,Doniphan County,9.3,39.2,34.6,16.9
934,KS,Douglas County,5.0,19.4,26.0,49.7
935,KS,Edwards County,16.8,29.1,35.9,18.2
936,KS,Elk County,9.6,36.4,37.2,16.8
937,KS,Ellis County,6.7,26.4,32.8,34.1
938,KS,Ellsworth County,9.3,33.2,37.9,19.7
939,KS,Finney County,27.9,23.1,30.5,18.5
940,KS,Ford County,28.8,24.1,29.3,17.8
941,KS,Franklin County,8.1,36.1,35.9,19.9
942,KS,Geary County,8.7,28.9,42.0,20.4
943,KS,Gove County,8.1,36.5,33.0,22.4
944,KS,Graham County,6.2,35.5,32.8,25.5
945,KS,Grant County,29.7,30.2,25.0,15.2
946,KS,Gray County,24.2,25.9,30.7,19.2
947,KS,Greeley County,11.7,31.2,27.5,29.6
948,KS,Greenwood County,9.8,36.3,36.2,17.7
949,KS,Hamilton County,18.8,36.8,28.0,16.3
950,KS,Harper County,10.6,37.0,32.7,19.7
951,KS,Harvey County,9.3,27.8,35.2,27.7
952,KS,Haskell County,29.0,19.0,34.3,17.7
953,KS,Hodgeman County,6.6,26.0,41.7,25.7
954,KS,Jackson County,5.3,39.6,34.6,20.4
955,KS,Jefferson County,7.7,39.7,32.0,20.6
956,KS,Jewell County,5.6,43.2,36.0,15.3
957,KS,Johnson County,4.2,14.9,27.3,53.6
958,KS,Kearny County,22.5,27.3,36.0,14.3
959,KS,Kingman County,8.3,33.6,34.6,23.5
960,KS,Kiowa County,8.3,27.8,36.6,27.3
961,KS,Labette County,12.5,32.6,36.9,18.0
962,KS,Lane County,6.9,30.4,41.4,21.3
963,KS,Leavenworth County,8.5,29.5,31.9,30.1
964,KS,Lincoln County,5.5,32.7,42.6,19.2
965,KS,Linn County,11.0,37.7,35.3,16.0
966,KS,Logan County,6.9,31.8,43.0,18.3
967,KS,Lyon County,11.1,33.0,29.3,26.7
968,KS,McPherson County,9.0,28.9,33.8,28.3
969,KS,Marion County,10.0,35.6,31.7,22.8
970,KS,Marshall County,6.1,42.5,33.6,17.9
971,KS,Meade County,14.5,30.6,33.0,22.0
972,KS,Miami County,5.3,32.2,37.8,24.7
973,KS,Mitchell County,4.6,30.9,38.8,25.7
974,KS,Montgomery County,11.0,30.4,41.0,17.6
975,KS,Morris County,12.2,36.5,34.5,16.8
976,KS,Morton County,12.4,37.1,36.1,14.3
977,KS,Nemaha County,8.5,42.4,27.3,21.8
978,KS,Neosho County,8.6,31.4,41.1,18.9
979,KS,Ness County,8.5,34.3,37.0,20.1
980,KS,Norton County,13.4,32.9,39.9,13.8
981,KS,Osage County,9.0,39.4,31.7,19.9
982,KS,Osborne County,8.7,35.3,35.0,21.0
983,KS,Ottawa County,5.9,35.5,37.2,21.5
984,KS,Pawnee County,10.7,27.4,39.5,22.4
985,KS,Phillips County,6.4,35.7,35.6,22.3
986,KS,Pottawatomie County,4.6,30.1,33.3,32.0
987,KS,Pratt County,9.4,27.0,38.1,25.5
988,KS,Rawlins County,6.3,30.9,39.0,23.9
989,KS,Reno County,12.5,29.9,38.5,19.2
990,KS,Republic County,5.9,33.1,40.0,21.0
991,KS,Rice County,11.3,29.1,37.2,22.4
992,KS,Riley County,4.4,17.1,32.4,46.0
993,KS,Rooks County,8.7,33.3,33.8,24.3
994,KS,Rush County,8.6,29.9,37.7,23.7
995,KS,Russell County,9.7,31.2,34.8,24.2
996,KS,Saline County,10.1,33.4,32.7,23.8
997,KS,Scott County,13.7,32.3,27.7,26.3
998,KS,Sedgwick County,11.0,26.6,32.3,30.0
999,KS,Seward County,34.7,25.3,28.5,11.6
1000,KS,Shawnee County,8.9,30.9,31.0,29.3
1001,KS,Sheridan County,8.6,31.7,36.9,22.9
1002,KS,Sherman County,8.6,30.5,41.9,19.0
1003,KS,Smith County,8.4,34.4,35.2,22.0
1004,KS,Stafford County,12.1,28.9,37.3,21.7
1005,KS,Stanton County,18.9,26.0,30.2,24.8
1006,KS,Stevens County,16.7,32.6,34.2,16.5
1007,KS,Sumner County,8.7,34.8,37.0,19.4
1008,KS,Thomas County,4.7,29.4,37.5,28.4
1009,KS,Trego County,5.8,32.4,36.0,25.8
1010,KS,Wabaunsee County,5.6,36.3,34.3,23.7
1011,KS,Wallace County,10.2,31.6,33.4,24.9
1012,KS,Washington County,8.8,36.0,36.8,18.4
1013,KS,Wichita County,19.1,27.3,35.3,18.3
1014,KS,Wilson County,13.0,36.3,35.4,15.3
1015,KS,Woodson County,10.2,38.3,37.8,13.7
1016,KS,Wyandotte County,21.9,32.8,29.0,16.3
1017,KY,Kentucky,15.4,33.3,28.6,22.7
1018,KY,Adair County,24.0,36.4,23.1,16.5
1019,KY,Allen County,23.6,35.8,27.0,13.6
1020,KY,Anderson County,11.4,39.6,30.1,18.9
1021,KY,Ballard County,13.8,36.8,34.2,15.3
1022,KY,Barren County,18.3,40.5,25.7,15.5
1023,KY,Bath County,24.3,40.0,23.5,12.1
1024,KY,Bell County,31.9,36.5,22.0,9.5
1025,KY,Boone County,7.6,27.0,34.3,31.1
1026,KY,Bourbon County,16.0,37.4,28.8,17.8
1027,KY,Boyd County,10.8,35.2,34.9,19.1
1028,KY,Boyle County,13.8,35.4,27.7,23.0
1029,KY,Bracken County,16.8,43.8,24.8,14.6
1030,KY,Breathitt County,28.6,34.4,24.8,12.2
1031,KY,Breckinridge County,20.3,44.0,25.3,10.5
1032,KY,Bullitt County,13.3,41.1,31.5,14.2
1033,KY,Butler County,22.4,43.2,23.9,10.4
1034,KY,Caldwell County,11.9,46.5,26.4,15.2
1035,KY,Calloway County,11.6,31.5,28.4,28.6
1036,KY,Campbell County,9.9,30.8,28.7,30.6
1037,KY,Carlisle County,18.2,33.9,32.2,15.7
1038,KY,Carroll County,23.6,39.7,24.2,12.5
1039,KY,Carter County,20.5,40.6,25.7,13.1
1040,KY,Casey County,26.6,36.3,24.6,12.4
1041,KY,Christian County,14.0,33.5,35.7,16.7
1042,KY,Clark County,15.5,36.1,28.0,20.5
1043,KY,Clay County,36.3,34.2,18.9,10.6
